document_id,authority,source_priority,document_type,file_name,sha256,official_url,scope,page_count
post-allotment-pref-reit-0-20260504153658-dde2a535,NSE,P2,CHECKLIST,Post_allotment__Pref_REIT_0_20260504153658.docx,dde2a535531e6e74b1f04f06cd047d4998a164fc8f4adf628bb027a2c2097b32,,REIT_INVIT,1
pre-allotment-sweat-equity-4226094c,NSE,P2,CHECKLIST,Pre-allotment_(Sweat Equity).docx,4226094ca7af070f1fda75242459560fc3eb4291c83a9599807f80eb79102cda,,COMPANY,1
checklist-preferential-issue-pre-ffe507ab,UNKNOWN,P2,CHECKLIST,Checklist_Preferential_issue_Pre.docx,ffe507ab14abd6afe22390a0eb4c36dcdec0c32546e6e28a1cbaa57ca0cda291,,COMPANY,1
extract-of-icdr-189995d8,UNKNOWN,P3,UNKNOWN,Extract of ICDR.pdf,189995d831638b9fe6d2bb0beadf79ca48b18375ccc49344623c77ba5506b7a3,,COMPANY,21
points-to-remember-28-1-6be45481,UNKNOWN,P3,UNKNOWN,Points to remember_28(1).docx,6be45481161341e460fd5374938c6aa5290db6e32de5487e8549e1e26e3fb3e1,,COMPANY,1
preferential-issue-faqs-0d8e781e,NSE,P2,UNKNOWN,Preferential Issue_FAQs.docx,0d8e781e406e277233e15effd04ee5644ff82ae92f844e5d46c599760b0d8251,,COMPANY,1
qip-post-allotment-0-0-d035add2,NSE,P2,CHECKLIST,QIP_Post_Allotment_0_0.docx,d035add2de2f8302dd803838731f2617030d469dbcef92081f6001294fba290e,,COMPANY,1
qip-post-allotment-invits-0-20260504154107-88791754,NSE,P2,CHECKLIST,QIP_Post_Allotment_InvITs_0_20260504154107.docx,88791754c57ee158a85d84dd91a84a15ecf9bb3c084a9d02470367412fa218f5,,REIT_INVIT,1
qip-post-allotment-reits-0-20260504154256-0eb97980,NSE,P2,CHECKLIST,QIP_Post_Allotment_REITS_0_20260504154256.docx,0eb9798042c84e5871f1c6a88664a44984fae8edd3ebb2e6e06911518e4b0097,,REIT_INVIT,1
in-principle-approval-rights-c26498ff,NSE,P2,CHECKLIST,In_principle_approval_-_Rights.docx,c26498ffdf85d6c57cbd0a61accb39818131590c924b0e8acf82cfcaca48fbd0,,REIT_INVIT,1
post-allotment-rights-22c13151,UNKNOWN,P2,CHECKLIST,Post_allotment-Rights.docx,22c13151b06592485283a5474cf8430d883370bdc090ac0ad1663a2ff88c1631,,REIT_INVIT,1
rights-entitlement-checklist-final-54a200b1,NSE,P2,CHECKLIST,Rights_Entitlement_-_Checklist_-_Final.docx,54a200b14ca4f5423704ab47190ab2fe515fb3a0092b56555dff8e91ddbbce15,,REIT_INVIT,1
trading-approval-5ee5125b,UNKNOWN,P2,CHECKLIST,Trading_Approval.docx,5ee5125b71f577a286591dafcb6a799ddb72d5be43f8cef53ada56a00d6b7943,,REIT_INVIT,1
rights-entitlement-checklist-e0bcaa00,NSE,P2,CHECKLIST,Rights_Entitlement_Checklist.pdf,e0bcaa0095df8475dd80d4bc8c6c5c30e6a6e701539968cdabfe7b060026ba18,,COMPANY,3
sebi-depositories-participants-regulations-fb150ec0,SEBI,P0,REGULATION,SEBI Depositories & Participants Regulations.pdf,fb150ec0a09ebfa735e5c298c54ec0f0ac6a16db0f4428a619eac799774cac53,,COMPANY,81
sebi-icdr-regulations-db196f1f,SEBI,P0,REGULATION,SEBI ICDR Regulations.pdf,db196f1f33dc5ee9346388a7241cd9416942ec8f8bc3826e74f9403b0ca0fcc6,,COMPANY,475
sebi-lodr-regulations-62626bd8,SEBI,P0,REGULATION,SEBI LODR Regulations.pdf,62626bd86a48184b7ef99bc3fc3dd38202559c227674a067aee577d98c687c8a,,COMPANY,231
sebi-pit-regulations-3e146320,SEBI,P0,REGULATION,SEBI PIT Regulations.pdf,3e14632093a11d5ced286205c744c7bec68df9c261cb8dcd6017b477e285f4b1,,COMPANY,82
sebi-sast-regulations-f3486698,SEBI,P0,REGULATION,SEBI SAST Regulations.pdf,f34866984eed83113ed920a7d5194d72972a7c199fdbae7c958aff197f4fc29a,,COMPANY,79
sebi-sbeb-sweat-equity-regulations-275c3965,SEBI,P0,REGULATION,SEBI SBEB & Sweat Equity Regulations.pdf,275c396520a48747aff9a52d384ab86d58d5ea7dc64bdedd3bca4726ab9f21f8,,COMPANY,45
trading-approval-557b966e,NSE,P2,UNKNOWN,Trading_Approval.docx,557b966e9f9b6cc7c12025ef87dba5546129f05fbb58264ea7843fcb44615039,,COMPANY,1
trading-approval-fast-track-a025d50d,NSE,P2,UNKNOWN,Trading_Approval_Fast_Track.docx,a025d50dbb2306a43b6dc3a158da4b2646169626fa3f941da4399a63c470b874,,COMPANY,1
trading-approval-invits-f28b7302,NSE,P2,UNKNOWN,Trading_Approval_InvITs.docx,f28b7302138c59ecbfb29c9bdb446f5fea49719958f619e6eb53b70235efca7c,,REIT_INVIT,1
the-companies-management-and-administration-rule-55296434,MCA,P0,RULE,the-companies-management-and-administration-rules-2014-.pdf,55296434c651dff6c805992bfd96ed085faf0ca14d74fbf38323b03395c62498,,COMPANY,41
the-companies-registration-offices-and-fees-rule-b0be2898,MCA,P0,RULE,the-companies-registration-offices-and-fees-rules-2014.pdf,b0be2898fc93f58ae09e4a2f391f933f76865b19a6cb7400d009e15ed524a2c4,,COMPANY,36
